epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
138,18053.8,0.62771,0.34851,0.9286,0.98891,0.98411,0.99341,0.91129,0.47637,0.20728,0.83631,0.0072874,0.0072874,0.0072874
139,18182.1,0.62656,0.34869,0.92797,0.99013,0.98294,0.99343,0.91119,0.47625,0.20752,0.83625,0.0072676,0.0072676,0.0072676
140,18311.5,0.62898,0.35041,0.92947,0.99004,0.98303,0.99348,0.91155,0.47627,0.20753,0.83631,0.0072478,0.0072478,0.0072478
141,18439.9,0.62821,0.34978,0.92885,0.9895,0.9834,0.99355,0.91176,0.47592,0.20742,0.83618,0.007228,0.007228,0.007228
142,18570.1,0.63069,0.35188,0.93009,0.98876,0.9836,0.99352,0.91177,0.47564,0.20734,0.83609,0.0072082,0.0072082,0.0072082
143,18699.2,0.62866,0.34953,0.93059,0.98848,0.9838,0.99353,0.91127,0.47548,0.20718,0.83594,0.0071884,0.0071884,0.0071884
144,18827.8,0.62978,0.34932,0.93014,0.989,0.98375,0.99357,0.9111,0.47543,0.20745,0.83607,0.0071686,0.0071686,0.0071686
145,18957.5,0.62775,0.34721,0.92693,0.98925,0.98375,0.99361,0.91081,0.47521,0.20731,0.83589,0.0071488,0.0071488,0.0071488
146,19086.3,0.62933,0.34927,0.9306,0.98903,0.98375,0.99365,0.91158,0.47503,0.20715,0.83582,0.007129,0.007129,0.007129
147,19214.9,0.62866,0.35041,0.93172,0.98866,0.98395,0.99364,0.91148,0.47507,0.20706,0.83595,0.0071092,0.0071092,0.0071092
148,19344.8,0.62681,0.34946,0.93197,0.98868,0.98395,0.99362,0.91184,0.475,0.20695,0.83603,0.0070894,0.0070894,0.0070894
149,19473,0.62706,0.34849,0.92697,0.98855,0.98395,0.99365,0.91164,0.47471,0.20657,0.83577,0.0070696,0.0070696,0.0070696
150,19601.3,0.62561,0.34706,0.92743,0.98952,0.98361,0.99366,0.91195,0.47456,0.20621,0.83568,0.0070498,0.0070498,0.0070498
151,19731.4,0.62671,0.34711,0.92587,0.98878,0.98437,0.99363,0.91189,0.47449,0.2059,0.83567,0.00703,0.00703,0.00703
152,19859.6,0.62865,0.34844,0.92689,0.98899,0.9844,0.99364,0.91194,0.47434,0.20579,0.83558,0.0070102,0.0070102,0.0070102
153,19989.2,0.62838,0.34894,0.9309,0.98972,0.98319,0.99363,0.91177,0.47407,0.20571,0.83555,0.0069904,0.0069904,0.0069904
154,20118.6,0.62539,0.34623,0.92885,0.98961,0.98326,0.99366,0.91169,0.47382,0.20575,0.83548,0.0069706,0.0069706,0.0069706
155,20247.3,0.62409,0.34713,0.92728,0.99068,0.98232,0.99369,0.91135,0.4735,0.20571,0.83545,0.0069508,0.0069508,0.0069508
156,20377,0.62443,0.34638,0.92601,0.99073,0.98218,0.99367,0.91149,0.47333,0.20543,0.83523,0.006931,0.006931,0.006931
157,20506.2,0.62468,0.34814,0.92698,0.99026,0.98303,0.99376,0.91179,0.47327,0.20495,0.83516,0.0069112,0.0069112,0.0069112
158,20634.6,0.6237,0.34495,0.92655,0.98916,0.98418,0.99379,0.9115,0.4731,0.20506,0.83513,0.0068914,0.0068914,0.0068914
159,20764.3,0.62183,0.34429,0.92543,0.98885,0.98404,0.99378,0.91189,0.47298,0.20447,0.83495,0.0068716,0.0068716,0.0068716
